Date,Open,High,Low,Close,Volume
2022-05-30,1360.5109043480215,1370.3993899141035,1349.1270397123164,1352.1177978515625,6312337
2022-05-31,1346.6671047229142,1355.2532282991208,1331.3278687688946,1339.962158203125,6742694
2022-06-01,1331.3278311478355,1351.0565189309743,1330.5078339352594,1345.654052734375,6045948
2022-06-02,1338.3221185179284,1339.0456662482497,1329.977177808568,1336.2479248046875,5737510
2022-06-03,1348.9824553533729,1351.3459975345388,1327.758388285188,1331.6173095703125,3478622
2022-06-06,1327.758321586318,1338.0808883995076,1312.6602692637205,1329.8323974609375,3086633
2022-06-07,1313.9626892701306,1325.8289192527716,1306.3412962272514,1314.54150390625,5126983
2022-06-08,1324.864173557387,1332.2925497920367,1309.1390224965921,1319.1722412109375,2993294
2022-06-09,1314.2038506951637,1333.305557734161,1309.283749719946,1329.10888671875,3655908
2022-06-10,1312.1295937627676,1319.7027026970475,1296.2115445857144,1303.447021484375,4577715
2022-06-13,1276.9169664061656,1283.0912637093309,1262.1566638810964,1279.8111572265625,5446286
2022-06-14,1265.0026485396595,1279.232420944586,1258.9730839613007,1265.7261962890625,5935178
2022-06-15,1255.7411829292312,1269.3921398400112,1252.6058095431652,1261.3365478515625,5905235
2022-06-16,1263.79672192683,1273.9746739307632,1232.9253516202207,1236.1090087890625,6084596
2022-06-17,1230.0310927921776,1253.1846192447363,1226.75098632508,1244.2608642578125,7361961
2022-06-20,1258.6835740987256,1278.267646275944,1248.5057401024294,1275.5181884765625,7968420
2022-06-21,1289.7479103589067,1306.244774280214,1277.351150049631,1289.4102783203125,6610342
2022-06-22,1285.2619801883163,1289.796165626449,1276.5311236091181,1283.33251953125,4079849
2022-06-23,1283.573672904231,1300.456453269375,1271.9969092252752,1288.0596923828125,7686122
2022-06-24,1291.3398640365797,1313.6251116883268,1291.3398640365797,1306.052001953125,4006716
2022-06-27,1321.6805695564517,1327.4689516129033,1304.3154233870969,1308.41552734375,4902082
2022-06-28,1296.597530858375,1303.3506429982622,1291.195064699451,1298.4305419921875,4885287
2022-06-29,1284.2971670594436,1303.1094072529904,1284.2971670594436,1296.5491943359375,4997023
2022-06-30,1288.8797784912833,1306.2449252074832,1288.8797784912833,1300.45654296875,6237911
2022-07-01,1296.5492579295915,1312.0332265697136,1283.1396007817427,1306.003662109375,5736226
2022-07-04,1305.9553751560902,1312.2261221788451,1294.9092601989016,1307.836669921875,4243740
2022-07-05,1315.89223698319,1330.7008247481583,1300.7460171385526,1304.894287109375,7162859
2022-07-06,1300.456374273587,1324.9605461251986,1299.5880934974227,1322.8863525390625,7524539
2022-07-07,1331.327771283725,1348.6929161265564,1325.9734711845488,1346.570556640625,8871571
2022-07-08,1360.2697517169659,1360.2697517169659,1345.5576143313747,1347.82470703125,6237015
2022-07-11,1344.8340452329032,1360.1732806361067,1344.1104975041194,1356.5555419921875,3731416
2022-07-12,1355.6873685165606,1355.6873685165606,1340.396415523747,1342.7117919921875,4938487
2022-07-13,1340.9750863643992,1345.0269064258607,1306.4859789273291,1309.958984375,7972805
2022-07-14,1313.9627985755437,1324.2372008398606,1301.6624860338125,1303.3990478515625,5186205
2022-07-15,1305.2801297805306,1316.7604442015056,1299.298848871249,1314.010986328125,6797823
2022-07-18,1300.4565424992732,1317.9181386934938,1294.7164438872435,1300.0224609375,10166110
2022-07-19,1289.844443552998,1310.6344291470539,1289.844443552998,1300.5047607421875,7896269
2022-07-20,1311.9366451283217,1322.741576448447,1307.4506260680762,1316.905029296875,10173931
2022-07-21,1312.5638149193098,1321.19810372303,1310.2001551007186,1312.7567138671875,6320139
2022-07-22,1317.8216095573384,1347.7282493057114,1314.3486039782556,1343.386962890625,6364796
2022-07-25,1345.7987402616234,1355.0601273943096,1334.5114430944323,1347.34228515625,5071563
2022-07-26,1346.7635387471973,1352.5519207188902,1337.4057016656002,1344.5928955078125,4263982
2022-07-27,1339.9138686156516,1356.4107323479802,1335.4278493973625,1354.8671875,4606389
2022-07-28,1365.1417298558365,1373.7760193885758,1361.2345248295508,1366.878173828125,8710203
2022-07-29,1387.2821109534234,1387.8609255552176,1365.3827812035915,1383.6160888671875,10009868
2022-08-01,1388.2469300517664,1397.3635844669816,1379.6126407964025,1395.144775390625,6596518
2022-08-02,1391.1411232670753,1393.6493985493832,1372.8595307850376,1379.8055419921875,7518255
2022-08-03,1374.6924127530663,1385.1115472420888,1367.0228538687375,1383.037353515625,5487749
2022-08-04,1389.2115079762577,1395.6751533032354,1363.1155085850419,1381.397216796875,6006103
2022-08-05,1382.4586043892104,1386.2692422011266,1371.0265731885256,1376.718505859375,4634491
2022-08-08,1377.63489434934,1412.8475509626107,1376.766613509999,1410.4840087890625,7678868
2022-08-10,1409.8086207323202,1419.6006569718604,1397.9425085297403,1414.5841064453125,8676551
2022-08-11,1434.0715139217018,1438.4128000385183,1422.543034561903,1433.2996826171875,9150883
2022-08-12,1432.6244319474972,1436.7728191594426,1423.893576013834,1432.7691650390625,4425185
2022-08-16,1442.0789334158217,1455.2956917302697,1435.5670037378773,1449.169677734375,6281878
2022-08-17,1447.0955083962851,1459.3958202176536,1433.3481010665205,1456.6463623046875,6192175
